nominal_sections,A1_2,A1_3,A2_2,A2_3,B1_2,B1_3,B2_2,B2_3,C_2,C_3,D_2,D_3
16.0,48.0,43.0,44.0,41.0,60.0,53.0,54.0,48.0,66.0,59.0,62.0,52.0
25.0,63.0,57.0,58.0,53.0,79.0,70.0,71.0,62.0,83.0,73.0,80.0,66.0
35.0,77.0,70.0,71.0,65.0,97.0,86.0,86.0,77.0,103.0,90.0,96.0,80.0
50.0,93.0,84.0,86.0,78.0,118.0,104.0,104.0,92.0,125.0,110.0,113.0,94.0
70.0,118.0,107.0,108.0,98.0,150.0,133.0,131.0,116.0,160.0,140.0,140.0,117.0
95.0,142.0,129.0,130.0,118.0,181.0,161.0,157.0,139.0,195.0,170.0,166.0,138.0
120.0,164.0,149.0,150.0,135.0,210.0,186.0,181.0,160.0,226.0,197.0,189.0,157.0
150.0,189.0,170.0,172.0,155.0,241.0,214.0,206.0,183.0,261.0,227.0,213.0,178.0
185.0,215.0,194.0,195.0,176.0,275.0,245.0,234.0,208.0,298.0,259.0,240.0,200.0
240.0,252.0,227.0,229.0,207.0,324.0,288.0,274.0,243.0,352.0,305.0,277.0,230.0
300.0,289.0,261.0,263.0,237.0,372.0,331.0,313.0,278.0,406.0,351.0,313.0,260.0
400.0,345.0,311.0,314.0,283.0,446.0,397.0,372.0,331.0,488.0,422.0,366.0,305.0
500.0,396.0,356.0,360.0,324.0,512.0,456.0,425.0,378.0,563.0,486.0,414.0,345.0
630.0,456.0,410.0,416.0,373.0,592.0,527.0,488.0,435.0,653.0,562.0,471.0,391.0
800.0,529.0,475.0,482.0,432.0,687.0,612.0,563.0,502.0,761.0,654.0,537.0,446.0
1000.0,607.0,544.0,552.0,495.0,790.0,704.0,643.0,574.0,878.0,753.0,607.0,505.0
