nominal_sections,A1_2,A1_3,A2_2,A2_3,B1_2,B1_3,B2_2,B2_3,C_2,C_3,D_2,D_3
16.0,64.0,58.0,60.0,55.0,79.0,71.0,72.0,64.0,84.0,76.0,73.0,61.0
25.0,84.0,76.0,78.0,71.0,105.0,93.0,94.0,84.0,101.0,90.0,93.0,78.0
35.0,103.0,94.0,96.0,87.0,130.0,116.0,115.0,103.0,126.0,112.0,112.0,94.0
50.0,125.0,113.0,115.0,104.0,157.0,140.0,138.0,124.0,154.0,136.0,132.0,112.0
70.0,158.0,142.0,145.0,131.0,200.0,179.0,175.0,156.0,198.0,174.0,163.0,138.0
95.0,191.0,171.0,175.0,157.0,242.0,217.0,210.0,188.0,241.0,211.0,193.0,164.0
120.0,220.0,197.0,201.0,180.0,281.0,251.0,242.0,216.0,280.0,245.0,220.0,186.0
150.0,253.0,226.0,230.0,206.0,323.0,289.0,277.0,248.0,324.0,283.0,249.0,210.0
185.0,288.0,256.0,262.0,233.0,368.0,330.0,314.0,281.0,371.0,323.0,279.0,236.0
240.0,338.0,300.0,307.0,273.0,433.0,389.0,368.0,329.0,439.0,382.0,322.0,272.0
300.0,387.0,344.0,352.0,313.0,499.0,447.0,421.0,377.0,508.0,440.0,364.0,308.0
400.0,462.0,409.0,421.0,372.0,597.0,536.0,500.0,448.0,612.0,529.0,426.0,361.0
500.0,530.0,468.0,483.0,426.0,687.0,617.0,573.0,513.0,707.0,610.0,482.0,408.0
630.0,611.0,538.0,556.0,490.0,794.0,714.0,658.0,590.0,821.0,707.0,547.0,464.0
800.0,708.0,622.0,644.0,566.0,922.0,830.0,760.0,682.0,958.0,824.0,624.0,529.0
1000.0,812.0,712.0,739.0,648.0,1061.0,955.0,870.0,780.0,1108.0,950.0,706.0,598.0
