nominal_sections,A1_2,A1_3,A2_2,A2_3,B1_2,B1_3,B2_2,B2_3,C_2,C_3,D_2,D_3
0.5,7.0,7.0,7.0,7.0,9.0,8.0,9.0,8.0,10.0,9.0,12.0,10.0
0.75,9.0,9.0,9.0,9.0,11.0,10.0,11.0,10.0,13.0,11.0,15.0,12.0
1.0,11.0,10.0,11.0,10.0,14.0,12.0,13.0,12.0,15.0,14.0,18.0,15.0
1.5,14.5,13.5,14.0,13.0,17.5,15.5,16.5,15.0,19.5,17.5,22.0,18.0
2.5,19.5,18.0,18.5,17.5,24.0,21.0,23.0,20.0,27.0,24.0,29.0,24.0
4.0,26.0,24.0,25.0,23.0,32.0,28.0,30.0,27.0,36.0,32.0,38.0,31.0
6.0,34.0,31.0,32.0,29.0,41.0,36.0,38.0,34.0,46.0,41.0,47.0,39.0
10.0,46.0,42.0,43.0,39.0,57.0,50.0,52.0,46.0,63.0,57.0,63.0,52.0
16.0,61.0,56.0,57.0,52.0,76.0,68.0,69.0,62.0,85.0,76.0,81.0,67.0
25.0,80.0,73.0,75.0,68.0,101.0,89.0,90.0,80.0,112.0,96.0,104.0,86.0
35.0,99.0,89.0,92.0,83.0,125.0,110.0,111.0,99.0,138.0,119.0,125.0,103.0
50.0,119.0,108.0,110.0,99.0,151.0,134.0,133.0,118.0,168.0,144.0,148.0,122.0
70.0,151.0,136.0,139.0,125.0,192.0,171.0,168.0,149.0,213.0,184.0,183.0,151.0
95.0,182.0,164.0,167.0,150.0,232.0,207.0,201.0,179.0,258.0,223.0,216.0,179.0
120.0,210.0,188.0,192.0,172.0,269.0,239.0,232.0,206.0,299.0,259.0,246.0,203.0
150.0,240.0,216.0,219.0,196.0,309.0,275.0,265.0,236.0,344.0,299.0,278.0,230.0
185.0,273.0,245.0,248.0,223.0,353.0,314.0,300.0,268.0,392.0,341.0,312.0,258.0
240.0,321.0,286.0,291.0,261.0,415.0,370.0,351.0,313.0,461.0,403.0,361.0,297.0
300.0,367.0,328.0,334.0,298.0,477.0,426.0,401.0,358.0,530.0,464.0,408.0,336.0
400.0,438.0,390.0,398.0,355.0,571.0,510.0,477.0,425.0,634.0,557.0,478.0,394.0
500.0,502.0,447.0,456.0,406.0,656.0,587.0,545.0,486.0,729.0,642.0,540.0,445.0
630.0,578.0,514.0,526.0,467.0,758.0,678.0,626.0,559.0,843.0,743.0,614.0,506.0
800.0,669.0,593.0,609.0,540.0,881.0,788.0,723.0,645.0,978.0,865.0,700.0,577.0
1000.0,767.0,679.0,698.0,618.0,1012.0,906.0,827.0,738.0,1125.0,996.0,792.0,652.0
